@relation Cuaca

@attribute Cuaca {Cerah, Mendung, Hujan}
@attribute Suhu real
@attribute Kelembaban_Udara real
@attribute Berangin {YA, TIDAK}
@attribute Bermain_Tenis {YA, TIDAK}

@data
Cerah, 85, 85, TIDAK, TIDAK
Cerah, 80, 90, YA, TIDAK
Mendung, 83, 86, TIDAK, YA
Hujan, 70, 96, TIDAK, YA
Hujan, 68, 80, TIDAK, YA
Hujan, 65, 70, YA, TIDAK
Mendung, 64,  65, YA, YA
Cerah, 72, 95, TIDAK, TIDAK
Cerah, 69, 70, TIDAK, YA
Hujan, 75, 80, TIDAK, YA
Cerah, 75, 70, YA, YA
Mendung, 72, 90, YA, YA
Mendung, 81, 75, TIDAK, YA
Hujan, 71, 91, YA, TIDAK
