@relation tugas

@attribute Jurusan_SMA {IPS, IPA, LAIN}
@attribute Gender {WANITA, PRIA}
@attribute Asal_Sekolah {SURAKARTA, LUAR}
@attribute Rerata_SKS real
@attribute Asisten {YA, TIDAK}
@attribute Lama_Studi {TERLAMBAT, TEPAT}

@data
IPS, WANITA, SURAKARTA, 18, TIDAK, TERLAMBAT
IPA, PRIA, SURAKARTA, 19, YA, TEPAT
LAIN, PRIA, SURAKARTA, 19, TIDAK, TERLAMBAT
IPA, PRIA, LUAR, 17, TIDAK, TERLAMBAT
IPA, WANITA, SURAKARTA, 17, TIDAK, TEPAT
IPA, WANITA, LUAR, 18, YA, TEPAT
IPA, PRIA, SURAKARTA, 18, TIDAK, TERLAMBAT
IPA, PRIA, SURAKARTA, 19, TIDAK, TEPAT
IPS, PRIA, LUAR, 18, TIDAK, TERLAMBAT
LAIN, WANITA, SURAKARTA, 18, TIDAK, TEPAT
IPA, WANITA, SURAKARTA, 19, TIDAK, TEPAT
IPS, PRIA, SURAKARTA, 20, TIDAK, TEPAT
IPS, PRIA, SURAKARTA, 19, TIDAK, TEPAT
IPA, PRIA, SURAKARTA, 19, TIDAK, TEPAT
IPA, PRIA, LUAR, 22, YA, TEPAT
LAIN, PRIA, SURAKARTA, 16, TIDAK, TERLAMBAT
IPS, PRIA, LUAR, 20, TIDAK, TEPAT
LAIN, PRIA, LUAR, 23, YA, TEPAT
IPA, PRIA, SURAKARTA, 21, YA, TEPAT
IPS, PRIA, SURAKARTA, 19, TIDAK, TERLAMBAT
